Array Size,Time (microseconds)
1000,128
2000,214
3000,352
4000,481
5000,622
6000,873
7000,874
8000,1091
9000,1180
10000,1291
11000,1450
12000,1609
13000,1728
14000,2141
15000,2083
16000,2137
17000,2306
18000,3039
19000,2598
20000,2763
21000,2866
22000,3702
23000,3091
24000,3283
25000,3903
26000,4070
27000,3668
28000,4838
29000,4085
30000,4129
31000,4968
32000,4423
33000,5180
34000,4763
35000,4839
36000,5582
37000,5140
38000,6068
39000,5446
40000,6445
41000,5722
42000,6326
43000,5983
44000,6677
45000,6379
46000,6769
47000,7194
48000,7875
49000,6981
50000,9252
51000,7916
52000,7490
53000,8315
54000,8043
55000,8410
56000,9397
57000,8962
58000,8380
59000,9254
60000,9171
61000,8820
62000,9167
63000,10145
64000,10043
65000,9518
66000,9587
67000,10369
68000,10481
69000,12511
70000,13986
71000,12085
72000,14524
73000,14886
74000,13395
75000,14725
76000,14529
77000,16727
78000,13380
79000,46999
80000,17606
81000,13617
82000,12704
83000,12850
84000,12881
85000,13552
86000,15280
87000,13940
88000,14173
89000,13990
90000,13973
91000,14127
92000,15121
93000,16620
94000,14460
95000,14445
96000,14290
97000,14733
98000,14916
99000,14890
100000,15217
